"year","region","abbreviation","totalballots","vap","vep"
"2004","maryland","MD","2395791","4179376","3802045"
"2004","massachusetts","MA","2927455","4935787","4510816"
"2004","michigan","MI","4875692","7508568","7204686"
"2004","minnesota","MN","2842912","3819020","3600480"
"2004","mississippi","MS","","2133681","2075007"
"2004","missouri","MO","2764635","4339414","4181874"
"2004","montana","MT","456096","711858","700939"
"2004","nebraska","NE","792906","1305430","1239369"
"2004","nevada","NV","831563","1776962","1521561"
"2004","new hampshire","NH","683672","984422","950479"
"2004","new jersey","NJ","3638153","6513394","5637382"
"2004","new mexico","NM","775301","1411419","1289094"
"2004","new york","NY","7448266","14598898","12640317"
"2004","north carolina","NC","3552449","6505150","6066809"
"2004","north dakota","ND","316049","496479","488759"
"2004","ohio","OH","5722443","8624277","8407021"
"2004","oklahoma","OK","","2649994","2516580"
"2004","oregon","OR","1851671","2736472","2537173"
"2004","pennsylvania","PA","","9554349","9255690"
"2004","rhode island","RI","440228","827513","747510"
"2004","south carolina","SC","1626720","3198733","3066549"
"2004","south dakota","SD","394930","576472","565300"
"2004","tennessee","TN","2456610","4496929","4322069"
"2004","texas","TX","","16284659","13763508"
"2004","utah","UT","942010","1664066","1545108"
"2004","vermont","VT","314220","480053","469972"
"2004","virginia","VA","3223156","5699175","5284227"
"2004","washington","WA","2883499","4683829","4257936"
"2004","west virginia","WV","769645","1425689","1407450"
"2004","wisconsin","WI","3016288","4172068","3995149"
"2004","wyoming","WY","245789","386796","375525"
"2002","alabama","AL","","3371451","3257159"
"2002","alaska","AK","232852","457154","431836"
"2002","arizona","AZ","1255615","3998148","3485783"
"2002","arkansas","AR","814176","2031787","1940766"
"2002","california","CA","7738821","25622609","20529013"
"2002","colorado","CO","1424029","3362098","3094727"
"2002","connecticut","CT","1090756","2617814","2409238"
"2002","delaware","DE","","612919","568420"
"2002","district of columbia","DC","","458631","412768"
"2002","florida","FL","5143674","13005435","11356610"
"2002","georgia","GA","","6287215","5627045"
"2002","hawaii","HI","385462","950520","868843"
"2002","idaho","ID","416533","970916","908612"
"2002","illinois","IL","3651808","9302571","8431456"
"2002","indiana","IN","1562037","4587747","4445890"
"2002","iowa","IA","1040201","2214936","2138396"
"2002","kansas","KS","851966","2007407","1904495"
"2002","kentucky","KY","","3100972","3013670"
"2002","louisiana","LA","1267225","3312330","3178751"
"2002","maine","ME","","1001796","985767"
"2002","maryland","MD","1721626","4082694","3722540"
"2002","massachusetts","MA","2220301","4919958","4506010"
"2002","michigan","MI","3219864","7445335","7142670"
"2002","minnesota","MN","","3745577","3530710"
"2002","mississippi","MS","","2099698","2045926"
"2002","missouri","MO","","4262146","4109691"
"2002","montana","MT","340272","690652","680305"
"2002","nebraska","NE","","1285024","1223282"
"2002","nevada","NV","512433","1640679","1411670"
"2002","new hampshire","NH","453078","960401","929106"
"2002","new jersey","NJ","2161105","6448445","5598940"
"2002","new mexico","NM","502230","1360130","1248642"
"2002","new york","NY","4690968","14504792","12555284"
"2002","north carolina","NC","","6314679","5906356"
"2002","north dakota","ND","237224","486797","479787"
"2002","ohio","OH","3356285","8556557","8348151"
"2002","oklahoma","OK","","2610016","2482367"
"2002","oregon","OR","1293756","2674581","2482962"
"2002","pennsylvania","PA","","9454338","9167980"
"2002","rhode island","RI","337027","819310","741771"
"2002","south carolina","SC","","3100548","2971409"
"2002","south dakota","SD","340407","564305","553910"
"2002","tennessee","TN","","4393757","4229199"
"2002","texas","TX","4552059","15718593","13332110"
"2002","utah","UT","568290","1601707","1492002"
"2002","vermont","VT","232993","472402","462482"
"2002","virginia","VA","1661915","5536511","5144877"
"2002","washington","WA","1808720","4553733","4119129"
"2002","west virginia","WV","440156","1413580","1396182"
"2002","wisconsin","WI","","4094028","3926822"
"2002","wyoming","WY","188028","376121","365426"
"2000","alabama","AL","","3334576","3232759"
"2000","alaska","AK","287825","440296","418238"
"2000","arizona","AZ","1559520","3816498","3363510"
"2000","arkansas","AR","","2001774","1920954"
"2000","california","CA","11142843","24867252","19911561"
"2000","colorado","CO","","3246521","3006671"
"2000","connecticut","CT","1474103","2575243","2361236"
"2000","delaware","DE","","594256","553554"
"2000","district of columbia","DC","","458301","404098"
"2000","florida","FL","6138765","12475387","10952576"
"2000","georgia","GA","2684951","6087332","5501687"
"2000","hawaii","HI","371113","923737","843861"
"2000","idaho","ID","516647","935443","875400"
"2000","illinois","IL","4932192","9208908","8362452"
"2000","indiana","IN","2246348","4527523","4403265"
"2000","iowa","IA","","2199529","2125448"
"2000","kansas","KS","1092716","1983933","1894387"
"2000","kentucky","KY","1568058","3059582","2984345"
"2000","louisiana","LA","1776133","3260060","3131905"
"2000","maine","ME","","979314","964624"
"2000","maryland","MD","2036455","3972224","3640036"
"2000","massachusetts","MA","2736006","4870470","4480832"
"2000","michigan","MI","4279299","7370524","7079579"
"2000","minnesota","MN","2458303","3662005","3459248"
"2000","mississippi","MS","","2076861","2026696"
"2000","missouri","MO","","4190073","4048057"
"2000","montana","MT","417916","676065","666875"
"2000","nebraska","NE","707223","1266496","1208322"
