"DIST_NAME","SY","kindercount"
"Southern Berkshire",2021,48
"Southern Berkshire",2022,44
"Southern Berkshire",2023,38
"Southwick-Tolland-Granville",2018,102
"Southwick-Tolland-Granville",2019,104
"Southwick-Tolland-Granville",2020,92
"Southwick-Tolland-Granville",2021,80
"Southwick-Tolland-Granville",2022,85
"Southwick-Tolland-Granville",2023,101
"Spencer-E Brookfield",2018,28
"Spencer-E Brookfield",2019,19
"Spencer-E Brookfield",2020,26
"Spencer-E Brookfield",2021,15
"Spencer-E Brookfield",2022,25
"Spencer-E Brookfield",2023,18
"Springfield",2018,934
"Springfield",2019,1116
"Springfield",2020,1149
"Springfield",2021,1027
"Springfield",2022,1079
"Springfield",2023,1599
"Stoneham",2018,120
"Stoneham",2019,112
"Stoneham",2020,178
"Stoneham",2021,172
"Stoneham",2022,169
"Stoneham",2023,182
"Stoughton",2018,52
"Stoughton",2019,46
"Stoughton",2020,54
"Stoughton",2021,45
"Stoughton",2022,60
"Stoughton",2023,68
"Sturbridge",2018,109
"Sturbridge",2019,99
"Sturbridge",2020,107
"Sturbridge",2021,91
"Sturbridge",2022,116
"Sturbridge",2023,106
"Sudbury",2018,84
"Sudbury",2019,77
"Sudbury",2020,87
"Sudbury",2021,75
"Sudbury",2022,72
"Sudbury",2023,86
"Sunderland",2018,33
"Sunderland",2019,32
"Sunderland",2020,28
"Sunderland",2021,17
"Sunderland",2022,21
"Sunderland",2023,22
"Sutton",2018,92
"Sutton",2019,99
"Sutton",2020,93
"Sutton",2021,82
"Sutton",2022,82
"Sutton",2023,91
"Swansea",2018,72
"Swansea",2019,59
"Swansea",2020,55
"Swansea",2021,57
"Swansea",2022,68
"Swansea",2023,59
"Tewksbury",2018,117
"Tewksbury",2019,145
"Tewksbury",2020,136
"Tewksbury",2021,164
"Tewksbury",2022,135
"Tewksbury",2023,155
"Tisbury",2018,24
"Tisbury",2019,21
"Tisbury",2020,32
"Tisbury",2021,35
"Tisbury",2022,33
"Tisbury",2023,31
"Topsfield",2018,82
"Topsfield",2019,71
"Topsfield",2020,79
"Topsfield",2021,67
"Topsfield",2022,82
"Topsfield",2023,69
"Triton",2018,162
"Triton",2019,166
"Triton",2020,160
"Triton",2021,125
"Triton",2022,167
"Triton",2023,172
"Truro",2018,15
"Truro",2019,11
"Truro",2020,12
"Truro",2021,14
"Truro",2022,17
"Truro",2023,10
"Tyngsborough",2018,76
"Tyngsborough",2019,107
"Tyngsborough",2020,116
"Tyngsborough",2021,98
"Tyngsborough",2022,122
"Tyngsborough",2023,104
"UP Academy Charter School of Dorchester",2018,64
"UP Academy Charter School of Dorchester",2019,61
"UP Academy Charter School of Dorchester",2020,59
"UP Academy Charter School of Dorchester",2021,65
"UP Academy Charter School of Dorchester",2022,62
"UP Academy Charter School of Dorchester",2023,62
"Up-Island",2018,32
"Up-Island",2019,37
"Up-Island",2020,27
"Up-Island",2021,32
"Up-Island",2022,20
"Up-Island",2023,30
"Uxbridge",2018,113
"Uxbridge",2019,107
"Uxbridge",2020,127
"Uxbridge",2021,107
"Uxbridge",2022,127
"Uxbridge",2023,99
"Wales",2018,21
"Wales",2019,12
"Wales",2020,16
"Wales",2021,16
"Wales",2022,12
"Wales",2023,17
"Waltham",2018,163
"Waltham",2019,123
"Waltham",2020,142
"Waltham",2021,119
"Waltham",2022,129
"Waltham",2023,128
"Ware",2018,77
"Ware",2019,84
"Ware",2020,86
